,CI_Cat,CI_Subcat,Incident_ID,Impact,Urgency,Priority,number_cnt,Category,No_of_Reassignments,Open_Time,Resolved_Time,Close_Time,Closure_Code,No_of_Related_Interactions,Handle_Time_hrs,Ticket_Age,Open_Hour,Open_Day,Open_Month,Open_Year,Is_Weekend
13489,application,Server Based Application,IM0013684,3,3,3.0,0.697225675,incident,0.0,2013-11-14 11:58:00,2013-11-14 12:38:00,2013-11-14 12:38:00,User error,1.0,0.6666666666666666,0,11,3,11,2013,False
13490,subapplication,Web Based Application,IM0013685,4,4,4.0,0.293072452,incident,0.0,2013-11-14 12:01:00,2013-11-14 12:19:00,2013-11-14 12:19:00,Software,1.0,0.3,0,12,3,11,2013,False
13491,application,Web Based Application,IM0013686,5,5,5.0,0.785636447,request for information,2.0,2013-11-14 12:06:00,2013-11-14 15:04:00,2013-11-14 15:04:00,Other,1.0,2.966666666666667,0,12,3,11,2013,False
13492,subapplication,Web Based Application,IM0013687,4,4,4.0,0.095333112,incident,0.0,2013-11-14 12:22:00,2013-11-14 12:46:00,2013-11-14 12:46:00,Other,1.0,0.4,0,12,3,11,2013,False
13493,application,Server Based Application,IM0013688,5,5,5.0,0.545904561,request for information,0.0,2013-11-14 12:25:00,2013-11-14 16:02:00,2013-11-14 16:02:00,Software,1.0,3.6166666666666667,0,12,3,11,2013,False
13494,application,Web Based Application,IM0013689,5,5,5.0,0.707982771,incident,0.0,2013-11-14 12:29:00,2013-11-14 17:54:00,2013-11-14 17:54:00,Software,1.0,5.416666666666667,0,12,3,11,2013,False
13495,application,Web Based Application,IM0013690,5,5,5.0,0.15732743,incident,4.0,2013-11-14 12:35:00,2013-12-03 08:26:00,2013-12-03 08:26:00,Software,1.0,451.85,18,12,3,11,2013,False
13496,application,Server Based Application,IM0013691,3,3,3.0,0.212285871,incident,2.0,2013-11-14 12:51:00,2013-11-15 10:31:00,2013-11-15 10:33:00,Other,1.0,21.7,0,12,3,11,2013,False
13497,application,Web Based Application,IM0013692,4,4,4.0,0.10662827,incident,2.0,2013-11-14 12:51:00,2013-11-15 15:12:00,2013-11-15 15:13:00,Software,1.0,26.366666666666667,1,12,3,11,2013,False
13498,application,Web Based Application,IM0013693,4,4,4.0,0.042485773,incident,2.0,2013-11-14 13:00:00,2013-11-15 09:27:00,2013-11-15 09:27:00,Other,1.0,20.45,0,13,3,11,2013,False
13499,application,Web Based Application,IM0013694,4,4,4.0,0.122000662,incident,0.0,2013-11-14 13:03:00,2013-11-14 14:59:00,2013-11-14 15:00:00,No error - works as designed,1.0,1.95,0,13,3,11,2013,False
13500,application,Server Based Application,IM0013695,4,4,4.0,0.965183528,incident,2.0,2013-11-14 13:04:00,2013-11-18 12:22:00,2013-11-18 12:23:00,Other,1.0,95.31666666666666,3,13,3,11,2013,False
13501,subapplication,Web Based Application,IM0013696,4,4,4.0,0.688529071,incident,2.0,2013-11-14 13:29:00,2013-11-26 09:37:00,2013-11-26 09:37:00,Software,1.0,284.1333333333333,11,13,3,11,2013,False
13502,application,Web Based Application,IM0013697,4,4,4.0,0.755233803,incident,3.0,2013-11-14 13:30:00,2013-11-19 11:23:00,2013-11-19 11:23:00,Other,2.0,117.88333333333334,4,13,3,11,2013,False
13503,application,Server Based Application,IM0013698,4,4,4.0,0.102802918,incident,0.0,2013-11-14 13:38:00,2013-11-15 12:32:00,2013-11-15 12:32:00,User error,2.0,22.9,0,13,3,11,2013,False
13504,application,Server Based Application,IM0013699,4,4,4.0,0.888469022,incident,0.0,2013-11-14 13:38:00,2013-11-14 14:20:00,2013-11-14 14:20:00,Other,1.0,0.7,0,13,3,11,2013,False
13505,software,Automation Software,IM0013700,4,4,4.0,0.513336943,incident,1.0,2013-11-14 13:39:00,2013-11-14 15:40:00,2013-11-14 15:41:00,Software,1.0,2.033333333333333,0,13,3,11,2013,False
13506,computer,Laptop,IM0013701,5,5,5.0,0.722349334,incident,0.0,2013-11-14 13:43:00,2013-11-15 12:48:00,2013-11-15 12:49:00,Software,1.0,23.1,0,13,3,11,2013,False
13507,application,Server Based Application,IM0013702,4,4,4.0,0.670231539,incident,0.0,2013-11-14 13:49:00,2013-11-14 15:42:00,2013-11-14 15:43:00,Other,1.0,1.9,0,13,3,11,2013,False
13508,application,Server Based Application,IM0013703,3,3,3.0,0.960073773,incident,1.0,2013-11-14 13:51:00,2013-11-14 13:56:00,2013-11-14 13:56:00,Other,1.0,0.08333333333333333,0,13,3,11,2013,False
13509,application,Desktop Application,IM0013704,5,5,5.0,0.199558692,incident,0.0,2013-11-14 14:00:00,2013-11-14 15:34:00,2013-11-14 15:34:00,Software,1.0,1.5666666666666667,0,14,3,11,2013,False
13510,application,Web Based Application,IM0013705,4,4,4.0,0.257436459,incident,0.0,2013-11-14 14:02:00,2013-11-14 16:27:00,2013-11-14 16:27:00,User error,1.0,2.4166666666666665,0,14,3,11,2013,False
13511,application,Server Based Application,IM0013706,5,5,5.0,0.791989174,request for information,0.0,2013-11-14 14:05:00,2013-11-15 11:04:00,2013-11-15 11:04:00,User error,1.0,20.983333333333334,0,14,3,11,2013,False
13512,subapplication,Web Based Application,IM0013707,4,4,4.0,0.427689111,incident,0.0,2013-11-14 14:10:00,2013-11-14 14:46:00,2013-11-14 14:46:00,Operator error,1.0,0.6,0,14,3,11,2013,False
13513,application,Citrix,IM0013708,4,4,4.0,0.652443423,incident,0.0,2013-11-14 14:12:00,2013-11-21 16:18:00,2013-11-21 16:18:00,Software,1.0,170.1,7,14,3,11,2013,False
13514,application,Web Based Application,IM0013709,4,4,4.0,0.957338902,request for information,1.0,2013-11-14 14:21:00,2013-11-15 11:12:00,2013-11-15 11:14:00,Data,2.0,20.883333333333333,0,14,3,11,2013,False
13515,application,Desktop Application,IM0013710,3,3,3.0,0.034606389,incident,0.0,2013-11-14 14:23:00,2013-11-15 16:25:00,2013-11-15 16:25:00,Software,1.0,26.033333333333335,1,14,3,11,2013,False
13516,computer,Banking Device,IM0013711,2,2,2.0,0.622067592,incident,0.0,2013-11-14 14:31:00,2013-10-10 12:53:00,2013-11-14 16:41:00,Other,1.0,2.1666666666666665,0,14,3,11,2013,False
13517,subapplication,Web Based Application,IM0013712,3,3,3.0,0.306261,incident,1.0,2013-11-14 14:37:00,2013-11-14 15:18:00,2013-11-14 15:21:00,No error - works as designed,1.0,0.7333333333333333,0,14,3,11,2013,False
13518,application,Server Based Application,IM0013713,4,3,4.0,0.007173829,incident,0.0,2013-11-14 14:46:00,2013-11-14 15:28:00,2013-11-14 15:28:00,User error,1.0,0.7,0,14,3,11,2013,False
13519,application,Web Based Application,IM0013714,5,5,5.0,0.854944811,request for information,0.0,2013-11-14 14:56:00,2013-11-25 14:52:00,2013-11-25 14:52:00,No error - works as designed,2.0,263.93333333333334,10,14,3,11,2013,False
13520,application,Server Based Application,IM0013715,4,4,4.0,0.081798425,incident,1.0,2013-11-14 15:01:00,2013-11-15 14:56:00,2013-11-15 14:56:00,Data,1.0,23.916666666666668,0,15,3,11,2013,False
13521,application,Web Based Application,IM0013716,4,4,4.0,0.602304949,incident,3.0,2013-11-14 13:45:00,2014-01-15 14:25:00,2014-01-15 14:25:00,Other,1.0,1488.6666666666667,62,13,3,11,2013,False
13522,application,Web Based Application,IM0013717,5,5,5.0,0.658496025,incident,0.0,2013-11-14 13:59:00,2013-11-18 09:08:00,2013-11-18 09:08:00,Other,1.0,91.15,3,13,3,11,2013,False
13523,subapplication,Web Based Application,IM0013718,4,4,4.0,0.777737116,incident,0.0,2013-11-14 14:03:00,2013-11-14 14:54:00,2013-11-14 14:54:00,Other,1.0,0.85,0,14,3,11,2013,False
13524,application,Desktop Application,IM0013719,4,4,4.0,0.969591904,incident,2.0,2013-11-14 14:03:00,2013-11-18 10:54:00,2013-11-18 10:54:00,Unknown,1.0,92.85,3,14,3,11,2013,False
13525,computer,Banking Device,IM0013720,4,4,4.0,0.801335465,incident,1.0,2013-11-14 14:09:00,2013-10-10 12:53:00,2013-11-29 13:28:00,Other,1.0,359.31666666666666,14,14,3,11,2013,False
13526,application,Server Based Application,IM0013721,4,4,4.0,0.868854476,incident,1.0,2013-11-14 14:11:00,2013-11-15 10:29:00,2013-11-15 10:29:00,Software,1.0,20.3,0,14,3,11,2013,False
13527,application,Server Based Application,IM0013722,3,3,3.0,0.836065399,incident,1.0,2013-11-14 14:22:00,2013-11-14 14:25:00,2013-11-14 14:25:00,Hardware,1.0,0.05,0,14,3,11,2013,False
13528,application,Desktop Application,IM0013723,4,4,4.0,0.00541549,incident,0.0,2013-11-14 14:24:00,2013-11-14 15:00:00,2013-11-14 15:00:00,Other,1.0,0.6,0,14,3,11,2013,False
13529,application,Desktop Application,IM0013724,4,4,4.0,0.210828269,incident,0.0,2013-11-14 14:27:00,2013-11-14 15:03:00,2013-11-14 15:03:00,User error,1.0,0.6,0,14,3,11,2013,False
13530,application,Web Based Application,IM0013725,3,3,3.0,0.163790408,incident,9.0,2013-11-14 14:31:00,2014-03-24 14:58:00,2014-03-24 14:58:00,Other,1.0,3120.45,130,14,3,11,2013,False
13531,application,Web Based Application,IM0013726,5,5,5.0,0.430425432,incident,0.0,2013-11-14 14:35:00,2013-11-15 10:38:00,2013-11-15 10:38:00,Software,1.0,20.05,0,14,3,11,2013,False
13532,subapplication,Server Based Application,IM0013727,5,5,5.0,0.82614216,request for information,0.0,2013-11-14 14:36:00,2013-11-14 15:59:00,2013-11-14 15:59:00,Data,1.0,1.3833333333333333,0,14,3,11,2013,False
13533,application,Web Based Application,IM0013728,5,5,5.0,0.894002026,incident,0.0,2013-11-14 14:39:00,2013-11-14 15:57:00,2013-11-14 15:57:00,Software,1.0,1.3,0,14,3,11,2013,False
13534,application,Server Based Application,IM0013729,4,4,4.0,0.129083715,incident,0.0,2013-11-14 14:49:00,2013-11-21 13:44:00,2013-11-21 13:44:00,No error - works as designed,2.0,166.91666666666666,6,14,3,11,2013,False
13535,subapplication,Web Based Application,IM0013730,5,5,5.0,0.00295822,incident,0.0,2013-11-14 14:51:00,2013-11-14 15:58:00,2013-11-14 15:58:00,Other,1.0,1.1166666666666667,0,14,3,11,2013,False
13536,application,Web Based Application,IM0013731,4,4,4.0,0.771302868,incident,0.0,2013-11-14 15:02:00,2013-11-15 07:22:00,2013-11-15 07:23:00,Data,1.0,16.35,0,15,3,11,2013,False
13537,subapplication,Server Based Application,IM0013732,4,4,4.0,0.750114225,incident,0.0,2013-11-14 15:11:00,2013-11-14 15:24:00,2013-11-14 15:24:00,Data,1.0,0.21666666666666667,0,15,3,11,2013,False
13538,application,Web Based Application,IM0013733,4,4,4.0,0.078982068,incident,0.0,2013-11-14 15:17:00,2013-11-15 09:24:00,2013-11-15 09:24:00,Data,1.0,18.116666666666667,0,15,3,11,2013,False
13539,subapplication,Server Based Application,IM0013734,5,5,5.0,0.053374195,request for information,1.0,2013-11-14 15:18:00,2013-11-18 16:17:00,2013-11-18 16:17:00,Data,3.0,96.98333333333333,4,15,3,11,2013,False
13540,application,Server Based Application,IM0013735,4,4,4.0,0.358168517,incident,0.0,2013-11-14 15:19:00,2013-11-14 15:28:00,2013-11-14 15:29:00,No error - works as designed,1.0,0.16666666666666666,0,15,3,11,2013,False
13541,computer,Laptop,IM0013736,5,5,5.0,0.231306283,incident,2.0,2013-11-14 15:22:00,2013-12-02 12:26:00,2013-12-02 12:26:00,Software,1.0,429.06666666666666,17,15,3,11,2013,False
13542,application,Server Based Application,IM0013737,3,3,3.0,0.713811287,incident,0.0,2013-11-14 15:22:00,2013-10-10 12:53:00,2013-11-14 15:25:00,User error,1.0,0.05,0,15,3,11,2013,False
13543,application,Server Based Application,IM0013738,5,5,5.0,0.523559722,request for information,3.0,2013-11-14 15:25:00,2013-11-20 15:25:00,2013-11-20 15:25:00,Other,1.0,144.0,6,15,3,11,2013,False
13544,computer,Laptop,IM0013739,5,5,5.0,0.487408057,incident,3.0,2013-11-14 15:26:00,2013-11-18 14:37:00,2013-11-18 14:37:00,Software,1.0,95.18333333333334,3,15,3,11,2013,False
13545,application,Server Based Application,IM0013740,4,4,4.0,0.763030271,incident,0.0,2013-11-14 15:27:00,2013-11-14 15:33:00,2013-11-14 15:34:00,Other,1.0,0.11666666666666667,0,15,3,11,2013,False
13546,application,Server Based Application,IM0013741,4,4,4.0,0.820298345,incident,0.0,2013-11-14 15:27:00,2013-11-14 15:50:00,2013-11-14 15:50:00,User error,1.0,0.38333333333333336,0,15,3,11,2013,False
13547,application,Web Based Application,IM0013742,4,4,4.0,0.327144959,incident,0.0,2013-11-14 15:36:00,2013-11-18 10:30:00,2013-11-18 10:30:00,Software,1.0,90.9,3,15,3,11,2013,False
13548,application,Server Based Application,IM0013743,5,5,5.0,0.139974328,request for information,0.0,2013-11-14 15:57:00,2013-11-20 12:03:00,2013-11-20 12:03:00,Unknown,1.0,140.1,5,15,3,11,2013,False
13549,application,Web Based Application,IM0013744,4,4,4.0,0.333657661,incident,0.0,2013-11-14 15:57:00,2013-11-14 16:43:00,2013-11-14 16:43:00,Other,1.0,0.7666666666666667,0,15,3,11,2013,False
13550,application,Web Based Application,IM0013745,4,4,4.0,0.105086997,incident,0.0,2013-11-14 15:58:00,2013-11-25 14:27:00,2013-11-25 14:28:00,Operator error,2.0,262.5,10,15,3,11,2013,False
13551,application,Desktop Application,IM0013746,4,4,4.0,0.489870888,incident,0.0,2013-11-14 16:06:00,2013-11-18 10:25:00,2013-11-18 10:25:00,Other,1.0,90.31666666666666,3,16,3,11,2013,False
13552,application,Server Based Application,IM0013747,5,5,5.0,0.791448153,request for information,0.0,2013-11-14 16:28:00,2013-11-22 16:51:00,2013-11-22 16:51:00,Other,1.0,192.38333333333333,8,16,3,11,2013,False
13553,application,Server Based Application,IM0013748,3,3,3.0,0.141519325,incident,2.0,2013-11-14 16:33:00,2013-11-15 14:18:00,2013-11-15 14:18:00,Other,1.0,21.75,0,16,3,11,2013,False
13554,subapplication,Web Based Application,IM0013749,5,5,5.0,0.948976173,incident,1.0,2013-11-14 16:47:00,2013-11-15 09:37:00,2013-11-15 09:37:00,Other,1.0,16.833333333333332,0,16,3,11,2013,False
13555,application,Server Based Application,IM0013750,5,5,5.0,0.33959859,incident,0.0,2013-11-14 16:59:00,2013-11-18 13:05:00,2013-11-18 13:05:00,Software,1.0,92.1,3,16,3,11,2013,False
13556,application,Desktop Application,IM0013751,4,4,4.0,0.531370463,incident,1.0,2013-11-14 17:15:00,2013-11-18 08:56:00,2013-11-18 08:56:00,Unknown,1.0,87.68333333333334,3,17,3,11,2013,False
13557,subapplication,Web Based Application,IM0013752,4,3,4.0,0.597720155,incident,0.0,2013-11-14 17:16:00,2013-11-14 17:39:00,2013-11-14 17:39:00,Other,1.0,0.38333333333333336,0,17,3,11,2013,False
13558,application,Standard Application,IM0013753,3,3,3.0,0.299041302,incident,0.0,2013-11-15 07:42:00,2013-11-15 09:14:00,2013-11-15 09:14:00,User error,1.0,1.5333333333333334,0,7,4,11,2013,False
13559,application,Desktop Application,IM0013754,5,5,5.0,0.700553341,incident,0.0,2013-11-15 09:09:00,2013-11-19 11:31:00,2013-11-19 11:31:00,Software,1.0,98.36666666666666,4,9,4,11,2013,False
13560,application,Server Based Application,IM0013755,5,5,5.0,0.284529595,request for information,4.0,2013-11-15 09:21:00,2013-11-15 10:45:00,2013-11-15 10:45:00,Other,1.0,1.4,0,9,4,11,2013,False
13561,software,System Software,IM0013756,4,3,4.0,0.481868264,incident,0.0,2013-11-15 09:24:00,2013-11-15 09:38:00,2013-11-15 09:38:00,User error,1.0,0.23333333333333334,0,9,4,11,2013,False
13562,application,Server Based Application,IM0013757,4,4,4.0,0.722385358,incident,0.0,2013-11-14 15:02:00,2013-11-15 07:52:00,2013-11-15 07:52:00,Software,1.0,16.833333333333332,0,15,3,11,2013,False
13563,computer,Banking Device,IM0013758,2,2,2.0,0.385747974,incident,1.0,2013-11-14 15:09:00,2013-10-10 12:53:00,2013-11-15 13:41:00,Other,1.0,22.533333333333335,0,15,3,11,2013,False
13564,application,Server Based Application,IM0013759,4,4,4.0,0.563083588,incident,1.0,2013-11-14 15:17:00,2013-11-15 09:39:00,2013-11-15 09:39:00,Software,1.0,18.366666666666667,0,15,3,11,2013,False
13565,application,Web Based Application,IM0013760,4,4,4.0,0.794582912,incident,2.0,2013-11-14 15:21:00,2013-11-15 15:44:00,2013-11-15 15:44:00,No error - works as designed,1.0,24.383333333333333,1,15,3,11,2013,False
13566,application,Server Based Application,IM0013761,5,5,5.0,0.965771442,incident,0.0,2013-11-14 15:24:00,2013-11-15 09:35:00,2013-11-15 09:35:00,Software,1.0,18.183333333333334,0,15,3,11,2013,False
13567,application,Server Based Application,IM0013762,4,4,4.0,0.300712801,incident,0.0,2013-11-14 15:24:00,2013-11-14 16:15:00,2013-11-14 16:15:00,User error,1.0,0.85,0,15,3,11,2013,False
13568,subapplication,Server Based Application,IM0013763,3,4,3.0,0.28020544,incident,4.0,2013-11-14 15:26:00,2013-11-15 13:50:00,2013-11-15 13:50:00,Other,1.0,22.4,0,15,3,11,2013,False
13569,application,Web Based Application,IM0013764,4,4,4.0,0.024363318,incident,1.0,2013-11-14 15:28:00,2013-11-18 09:07:00,2013-11-18 09:07:00,Other,1.0,89.65,3,15,3,11,2013,False
13570,application,Web Based Application,IM0013765,4,4,4.0,0.177569306,incident,0.0,2013-11-14 15:37:00,2013-11-14 15:41:00,2013-11-14 15:41:00,Software,1.0,0.06666666666666667,0,15,3,11,2013,False
13571,application,Desktop Application,IM0013766,4,4,4.0,0.509699132,incident,0.0,2013-11-14 15:40:00,2013-11-14 16:27:00,2013-11-14 16:27:00,Software,1.0,0.7833333333333333,0,15,3,11,2013,False
13572,application,Web Based Application,IM0013767,5,5,5.0,0.272721818,incident,3.0,2013-11-14 15:45:00,2013-11-20 12:33:00,2013-11-20 12:34:00,Unknown,1.0,140.81666666666666,5,15,3,11,2013,False
13573,application,Web Based Application,IM0013768,4,4,4.0,0.467657615,incident,0.0,2013-11-14 15:52:00,2013-11-14 16:10:00,2013-11-14 16:10:00,Software,1.0,0.3,0,15,3,11,2013,False
13574,application,Citrix,IM0013769,4,4,4.0,0.24331454,incident,2.0,2013-11-14 15:53:00,2013-11-15 12:20:00,2013-11-15 12:21:00,Software,1.0,20.466666666666665,0,15,3,11,2013,False
13575,application,Server Based Application,IM0013770,2,2,2.0,0.161333645,incident,0.0,2013-11-14 15:58:00,2013-11-14 17:22:00,2013-11-14 17:22:00,Other,1.0,1.4,0,15,3,11,2013,False
13576,application,Server Based Application,IM0013771,4,4,4.0,0.495753409,incident,1.0,2013-11-14 16:01:00,2013-11-21 09:28:00,2013-11-21 09:28:00,Operator error,1.0,161.45,6,16,3,11,2013,False
13577,application,Server Based Application,IM0013772,3,3,3.0,0.39670844,incident,1.0,2013-11-14 16:05:00,2013-11-22 10:29:00,2013-11-22 10:58:00,User error,2.0,186.88333333333333,7,16,3,11,2013,False
13578,application,Server Based Application,IM0013773,4,4,4.0,0.13966823,incident,1.0,2013-11-14 16:06:00,2013-11-21 09:26:00,2013-11-21 09:26:00,User error,1.0,161.33333333333334,6,16,3,11,2013,False
13579,subapplication,Web Based Application,IM0013774,5,5,5.0,0.61444661,incident,0.0,2013-11-14 16:11:00,2013-11-15 07:14:00,2013-11-15 07:14:00,No error - works as designed,1.0,15.05,0,16,3,11,2013,False
13580,application,Server Based Application,IM0013775,4,3,4.0,0.703576506,incident,0.0,2013-11-14 16:16:00,2013-11-19 09:53:00,2013-11-19 09:53:00,Software,1.0,113.61666666666666,4,16,3,11,2013,False
13581,application,Server Based Application,IM0013776,4,4,4.0,0.212584007,incident,1.0,2013-11-14 16:23:00,2013-11-26 10:51:00,2013-11-26 10:51:00,User manual not used,1.0,282.46666666666664,11,16,3,11,2013,False
13582,application,Server Based Application,IM0013777,4,4,4.0,0.056732794,incident,0.0,2013-11-14 16:29:00,2013-11-15 10:25:00,2013-11-15 10:26:00,No error - works as designed,1.0,17.95,0,16,3,11,2013,False
13583,application,Web Based Application,IM0013778,4,5,4.0,0.47550785,incident,4.0,2013-11-14 16:42:00,2013-11-18 12:06:00,2013-11-18 12:06:00,User error,1.0,91.4,3,16,3,11,2013,False
13584,application,Web Based Application,IM0013779,4,4,4.0,0.812902282,incident,2.0,2013-11-14 16:47:00,2013-11-18 16:32:00,2013-11-18 16:32:00,Data,1.0,95.75,3,16,3,11,2013,False
13585,application,Web Based Application,IM0013780,4,4,4.0,0.895759522,incident,3.0,2013-11-14 16:52:00,2014-03-21 16:29:00,2014-03-21 16:29:00,Other,2.0,3047.616666666667,126,16,3,11,2013,False
13586,application,Web Based Application,IM0013781,4,4,4.0,0.346236077,incident,2.0,2013-11-14 16:55:00,2013-11-18 14:30:00,2013-11-18 14:31:00,Other,1.0,93.6,3,16,3,11,2013,False
13587,application,Server Based Application,IM0013782,5,5,5.0,0.022658799,incident,0.0,2013-11-14 18:00:00,2013-11-14 19:56:00,2013-11-14 19:57:00,Other,1.0,1.95,0,18,3,11,2013,False
13588,application,Server Based Application,IM0013783,2,2,2.0,0.530182936,incident,0.0,2013-11-14 18:18:00,2013-11-14 19:56:00,2013-11-14 19:56:00,Other,1.0,1.6333333333333333,0,18,3,11,2013,False
13589,application,Server Based Application,IM0013784,4,4,4.0,0.924767244,incident,0.0,2013-11-14 18:35:00,2013-11-14 19:49:00,2013-11-14 19:56:00,Other,1.0,1.35,0,18,3,11,2013,False
13590,computer,Omgeving,IM0013785,4,4,4.0,0.352016972,incident,0.0,2013-11-14 19:33:00,2013-11-15 09:10:00,2013-11-15 09:10:00,Software,1.0,13.616666666666667,0,19,3,11,2013,False
13591,computer,Omgeving,IM0013786,4,4,4.0,0.286883545,incident,0.0,2013-11-14 19:46:00,2013-11-15 09:41:00,2013-11-15 09:41:00,Software,1.0,13.916666666666666,0,19,3,11,2013,False
13592,application,Server Based Application,IM0013787,5,5,5.0,0.348078911,request for information,0.0,2013-11-15 07:35:00,2013-11-15 10:47:00,2013-11-15 10:47:00,Software,1.0,3.2,0,7,4,11,2013,False
13593,application,Web Based Application,IM0013788,5,5,5.0,0.421528366,request for information,0.0,2013-11-15 08:25:00,2013-11-19 14:29:00,2013-11-19 14:29:00,Data,1.0,102.06666666666666,4,8,4,11,2013,False
13594,computer,Laptop,IM0013789,5,5,5.0,0.688972071,incident,5.0,2013-11-15 08:56:00,2013-11-18 13:51:00,2013-11-18 13:51:00,Other,1.0,76.91666666666667,3,8,4,11,2013,False
13595,subapplication,Web Based Application,IM0013790,4,4,4.0,0.307571407,incident,0.0,2013-11-15 09:02:00,2013-11-15 09:39:00,2013-11-15 09:39:00,Software,1.0,0.6166666666666667,0,9,4,11,2013,False
13596,application,Web Based Application,IM0013791,3,3,3.0,0.676818316,incident,0.0,2013-11-15 09:13:00,2013-11-15 11:07:00,2013-11-15 11:07:00,Other,1.0,1.9,0,9,4,11,2013,False
13597,application,Server Based Application,IM0013792,4,3,4.0,0.160096736,request for information,3.0,2013-11-14 15:04:00,2013-11-21 18:26:00,2013-11-21 18:27:00,No error - works as designed,1.0,171.38333333333333,7,15,3,11,2013,False
13598,subapplication,Web Based Application,IM0013793,4,4,4.0,0.047707484,incident,4.0,2013-11-14 15:05:00,2013-11-20 14:34:00,2013-11-20 14:34:00,Unknown,1.0,143.48333333333332,5,15,3,11,2013,False
13599,subapplication,Web Based Application,IM0013794,4,4,4.0,0.544686496,incident,0.0,2013-11-14 15:09:00,2013-11-14 15:49:00,2013-11-14 15:49:00,User error,1.0,0.6666666666666666,0,15,3,11,2013,False
13600,application,Server Based Application,IM0013795,5,5,5.0,0.782581601,request for information,0.0,2013-11-14 15:10:00,2013-11-14 15:11:00,2013-11-14 15:11:00,Other,1.0,0.016666666666666666,0,15,3,11,2013,False
13601,application,Desktop Application,IM0013796,4,4,4.0,0.52113668,incident,0.0,2013-11-14 15:14:00,2013-10-10 12:53:00,2013-11-22 16:52:00,Software,1.0,193.63333333333333,8,15,3,11,2013,False
13602,application,Server Based Application,IM0013797,3,3,3.0,0.436220878,incident,0.0,2013-11-14 15:17:00,2013-11-18 10:44:00,2013-11-18 10:45:00,User error,1.0,91.46666666666667,3,15,3,11,2013,False
13603,application,Web Based Application,IM0013798,5,5,5.0,0.499061381,incident,1.0,2013-11-14 15:30:00,2013-11-21 13:19:00,2013-11-21 13:20:00,Other,1.0,165.83333333333334,6,15,3,11,2013,False
13604,subapplication,Web Based Application,IM0013799,4,4,4.0,0.69766479,incident,0.0,2013-11-14 15:38:00,2013-11-14 15:54:00,2013-11-14 15:55:00,Software,1.0,0.2833333333333333,0,15,3,11,2013,False
13605,application,Desktop Application,IM0013800,5,5,5.0,0.984029274,incident,1.0,2013-11-14 15:41:00,2013-11-15 14:23:00,2013-11-15 14:23:00,Software,1.0,22.7,0,15,3,11,2013,False
13606,application,Server Based Application,IM0013801,5,5,5.0,0.165131096,request for information,2.0,2013-11-14 15:42:00,2013-11-29 14:21:00,2013-11-29 14:21:00,Unknown,1.0,358.65,14,15,3,11,2013,False
13607,computer,Banking Device,IM0013802,3,3,3.0,0.127952318,incident,1.0,2013-11-14 15:47:00,2013-10-10 12:53:00,2013-11-15 16:04:00,Other,1.0,24.283333333333335,1,15,3,11,2013,False
13608,application,Web Based Application,IM0013803,5,5,5.0,0.426303928,incident,6.0,2013-11-14 15:54:00,2013-11-20 14:18:00,2013-11-20 14:18:00,Software,1.0,142.4,5,15,3,11,2013,False
13609,application,Web Based Application,IM0013804,4,4,4.0,0.92661576,incident,1.0,2013-11-14 16:19:00,2013-11-18 07:56:00,2013-11-18 07:56:00,Other,1.0,87.61666666666666,3,16,3,11,2013,False
13610,application,Client Based Application,IM0013805,4,4,4.0,0.877737525,incident,0.0,2013-11-14 16:29:00,2013-11-14 17:07:00,2013-11-14 17:07:00,Software,1.0,0.6333333333333333,0,16,3,11,2013,False
13611,application,Server Based Application,IM0013806,5,5,5.0,0.93515839,incident,0.0,2013-11-14 16:29:00,2013-11-15 09:32:00,2013-11-15 09:32:00,Other,1.0,17.05,0,16,3,11,2013,False
13612,application,Server Based Application,IM0013807,3,3,3.0,0.735273769,incident,0.0,2013-11-14 16:32:00,2013-11-17 14:24:00,2013-11-17 14:24:00,User error,1.0,69.86666666666666,2,16,3,11,2013,False
13613,application,Server Based Application,IM0013808,4,4,4.0,0.364800624,incident,0.0,2013-11-14 16:47:00,2013-11-21 10:02:00,2013-11-21 10:03:00,Software,1.0,161.26666666666668,6,16,3,11,2013,False
13614,application,Web Based Application,IM0013809,4,4,4.0,0.308465281,incident,0.0,2013-11-14 16:48:00,2013-11-18 10:49:00,2013-11-18 10:49:00,Software,1.0,90.01666666666667,3,16,3,11,2013,False
13615,application,Web Based Application,IM0013810,4,4,4.0,0.951614882,incident,0.0,2013-11-14 16:51:00,2013-11-15 15:37:00,2013-11-15 15:37:00,Other,1.0,22.766666666666666,0,16,3,11,2013,False
13616,storage,SAN,IM0013811,4,4,4.0,0.418101002,incident,0.0,2013-11-14 16:52:00,2013-11-21 07:57:00,2013-11-21 07:58:00,No error - works as designed,1.0,159.1,6,16,3,11,2013,False
13617,application,Server Based Application,IM0013812,5,5,5.0,0.517374947,request for information,0.0,2013-11-14 16:54:00,2013-11-15 08:12:00,2013-11-15 08:25:00,Other,1.0,15.516666666666667,0,16,3,11,2013,False
13618,application,Server Based Application,IM0013813,4,4,4.0,0.906840189,request for information,4.0,2013-11-14 17:00:00,2013-11-15 12:18:00,2013-11-15 12:18:00,No error - works as designed,1.0,19.3,0,17,3,11,2013,False
13619,application,Server Based Application,IM0013814,3,3,3.0,0.519312903,incident,0.0,2013-11-14 17:03:00,2013-11-14 17:07:00,2013-11-14 17:07:00,Other,1.0,0.06666666666666667,0,17,3,11,2013,False
